Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),Share Community Scheme,CHP Enabled,CfD Allocation Round,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity,No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Are they re-applying (New REPD Ref),Are they re-applying (Old REPD Ref) ,Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Heat Network Ref,Solar Site Area (sqm),Status_Category,geometry
2525,11891347,03/09/2020,Orsted (formerly Dong Energy),Hornsea 1 - Heron & Njord,Wind Offshore,,,1218.0,,,AR3,,,1200.00,7.00,174,,,Operational,Operational,,,,Offshore,Offshore,England,,626000,426000,The Planning Inspectorate - National Infrastructure,EN010033,,,,,03/01/1900,30/07/2013,,,,,,,10/12/2014,,,,,26/01/2018,01/12/2019,,,Operational,POINT (626000 426000)
2526,11842497,02/10/2019,RWE Npower Renewables,Galloper Wind Farm,Wind Offshore,,,353.0,,,,,,,6.30,56,,,Operational,Operational,,,"30 km from Suffolk coastline, South East Of Sizewell And Aldeburgh",Offshore,Offshore,England,,678139,227875,The Planning Inspectorate - National Infrastructure,EN010003,,,,,02/01/1900,21/11/2011,,,,,,,24/05/2013,,,,,29/07/2016,30/03/2018,,,Operational,POINT (678139 227875)
2527,11897449,03/09/2024,Red Rock Power (ICOL),Inch Cape,Wind Offshore,,,1080.0,,,AR6,,,266.11,15.00,72,291.00,,Planning Permission Granted,Awaiting Construction,,,Offshore - Scottish Borders (15-22 KM off the east Angus coastline),Offshore,Offshore,Scotland,,387786,734231,Marine Scotland,,,,,,STW,04/07/2013,,,,,,,16/05/2017,,,,,,,,,Planned,POINT (387786 734231)
2532,11815550,02/03/2022,Innogy,Triton Knoll ,Wind Offshore,,,857.0,,,AR2,,,,9.50,90,187.00,,Operational,Operational,,,"Greater Wash region, approximately 33km off the Lincolnshire coast",Offshore,Offshore,England,,591183,372179,The Planning Inspectorate - National Infrastructure,,,,,,02/01/1900,24/02/2012,,,,,,,11/07/2013,,,,,10/09/2018,13/01/2022,,,Operational,POINT (591183 372179)
2533,12133371,04/06/2020,Orsted (formerly Dong Energy),Walney 3,Wind Offshore,,,659.0,,,Investment Contract,,,660.00,6.00,110,222.00,,Operational,Operational,,,"14km off Walney Island, Irish Sea",Offshore,Offshore,England,,286289,467410,DECC (S36),,,,,,02/01/1900,30/07/2013,,,,,,,07/11/2014,,,,07/11/2019,01/04/2017,13/09/2018,,,Operational,POINT (286289 467410)
2534,11477290,12/04/2023,"Diamond Green Limited, CTG & Ocean Winds",Moray East,Wind Offshore,,,950.0,,,AR2,,,950.00,9.50,100,204.00,,Operational,Operational,,,"Smith Bank, Moray Firth - 13miles off Lybster",Offshore,Offshore,Scotland,,353328,897834,Scottish Government (S36),,,,,,03/01/1900,28/08/2012,,,,,,,19/03/2014,,,,,06/06/2019,01/04/2022,,,Operational,POINT (353328 897834)
2535,11842511,03/11/2015,Eneco & EDF,Navitus Bay,Wind Offshore,,,970.0,,,,,,,5.00,121,,,Planning Permission Refused,Application Refused,,,"off the Dorset and Hampshire coasts, to the west of the Isle of Wight.",Offshore,Offshore,England,,411540,54803,The Planning Inspectorate - National Infrastructure,EN010024,,,,,03/01/1900,08/05/2014,,11/09/2015,,,,,,,,,,,,,,Planned,POINT (411540 54803)
2538,11815541,02/01/2020,Statoil / Statkraft,Dudgeon East ,Wind Offshore,,,402.0,,,Investment Contract,,,402.00,6.00,67,,,Operational,Operational,,,Greater wash,Offshore,Offshore,England,,575000,361000,DECC (S36),,,,,,02/01/1900,12/06/2009,,,,,,,06/07/2012,,,,,17/03/2016,15/10/2017,,,Operational,POINT (575000 361000)
2539,11845588,02/05/2018,Orsted (formerly Dong Energy),Burbo Bank Extension (Burbo Bank 2),Wind Offshore,,,258.0,,,Investment Contract,,,258.00,8.00,32,,,Operational,Operational,,,"Burbo Flats, Liverpool Bay, approximately 6.4km (4.0 miles) from the Sefton coastline and 7.2km (4.5 miles) from North Wirral.",Offshore,Offshore,England,,315815,398892,The Planning Inspectorate - National Infrastructure,EN010026,,,,,02/01/1900,22/03/2013,,,,,,,10/12/2014,,,,,10/06/2016,27/04/2017,,,Operational,POINT (315815 398892)
2540,11979499,18/10/2023,SSE / Seagreen Wind Energy Ltd,Seagreen,Wind Offshore,,,1075.0,,No,AR3,,,454.00,9.20,114,,,Operational,Operational,,,"Firth of Forth Wind Zone 2, Dundee, Tayside",Offshore,Offshore,Scotland,DD4 0AD,404600,749300,Marine Scotland,,,,,19/07/2016,03/01/1900,23/10/2012,,,,,,,16/05/2017,,,,,01/05/2021,16/10/2023,,,Operational,POINT (404600 749300)
